Timestamp,Who are you?,"At what time, do you prefer to visit a Restaurant?",How much money do you typically spend per person for a meal at a restaurant in Pondicherry?,"When you visit a Restaurant, how important are the following? (5 being the most important)? [Quality of Food]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Friendly/Fast Service]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Special Ordering/Customizing Your Meal]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Convenience/Location]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Price]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Dining Environment]",Would you like to try cuisines that are inspired from different cultures and that are currently unavailable in Pondicherry?,What type of dining room do you prefer?,How do you inform yourself about the restaurants of Pondicherry?,What is your gender?,What is your age?,"To help us preserve the integrity of this survey, please write your name and sign below."
1/31/2017 16:02:56,Tourist,Breakfast,₹ 0-75,1,3,1,5,5,1,No,Relaxed,Random,Female,31-40,
1/31/2017 16:05:10,Local Resident,Breakfast,₹ 0-75,2,4,1,4,5,1,No,Doesn't Matter,Random,Male,41-50,
1/31/2017 16:07:19,Local Resident,Evening Snacks,₹ 350+,2,4,1,4,2,5,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 16:07:50,Local Resident,Dinner,₹ 350+,1,1,1,1,1,1,Yes,Fast Casual,Internet,Male,22-30,
1/31/2017 16:08:25,Local Resident,Breakfast,₹ 350+,1,4,1,1,3,5,May be,Doesn't Matter,Recommendation from friends,Female,22-30,
1/31/2017 16:09:03,Tourist,Lunch,₹ 150-250,1,3,2,4,1,5,May be,Formal,Recommendation from friends,Female,22-30,
1/31/2017 16:09:29,Tourist,Lunch,₹ 75-150,1,1,1,,,,No,Relaxed,Random,Male,41-50,
1/31/2017 16:10:05,Tourist,Lunch,₹ 75-150,1,3,1,1,4,1,Yes,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 16:11:21,Local Resident,Lunch,₹ 150-250,4,1,3,1,1,2,May be,Doesn't Matter,Internet,Male,41-50,
1/31/2017 16:12:01,Local Resident,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 250-350,5,5,5,5,5,5,Yes,Doesn't Matter,Banner Ads & Leaflet,Male,22-30,
1/31/2017 16:12:44,Local Resident,Breakfast,₹ 75-150,3,1,3,3,2,1,May be,Doesn't Matter,Recommendation from friends,Female,,
1/31/2017 16:13:23,Local Resident,Lunch,₹ 250-350,1,5,3,1,1,1,May be,Doesn't Matter,Random,Male,16-21,
1/31/2017 16:13:54,Local Resident,Dinner,₹ 250-350,1,4,2,1,1,1,May be,Formal,Internet,Male,16-21,
1/31/2017 16:14:43,Local Resident,Lunch,₹ 350+,1,5,1,2,2,2,May be,Doesn't Matter,Random,Male,16-21,
1/31/2017 16:15:20,Local Resident,Evening Snacks,₹ 150-250,1,3,1,3,4,5,May be,Relaxed,Internet,Female,16-21,
1/31/2017 16:15:56,Tourist,Lunch,₹ 75-150,1,1,3,1,1,3,No,Formal,Recommendation from friends,Female,16-21,
1/31/2017 16:16:35,Local Resident,Evening Snacks,₹ 350+,1,1,1,2,2,2,Yes,Formal,Random,Male,16-21,
1/31/2017 16:17:22,Local Resident,Breakfast,₹ 0-75,1,3,4,1,3,5,May be,Formal,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:18:11,Tourist,Lunch,₹ 150-250,2,3,4,1,4,1,May be,Formal,Banner Ads & Leaflet,Male,22-30,
1/31/2017 16:18:53,Local Resident,Evening Snacks,₹ 150-250,1,4,2,3,5,2,No,Relaxed,Recommendation from friends,Female,31-40,
1/31/2017 16:19:48,Local Resident,Dinner,₹ 75-150,1,2,5,3,4,1,May be,Formal,Random,Female,31-40,
1/31/2017 16:20:23,Local Resident,Lunch,₹ 75-150,1,2,5,2,4,1,No,Relaxed,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:20:57,Local Resident,Lunch,₹ 75-150,2,5,1,5,5,1,Yes,Formal,Random,Male,22-30,
1/31/2017 16:21:41,Local Resident,Lunch,₹ 150-250,1,1,4,2,3,1,,Relaxed,Internet,Female,31-40,
